N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Financiamento,Descrição,Modalidade de venda,Link de acesso,Origem,Categoria
8444436609666,RS,ALVORADA,UMBU,"RUA TRINTA E DOIS, N. 119, Apto 202,","50.076,39","86.500,00",42.11,Não,"Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC Emp, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444436609666,Caixa,Imóvel
8444428629637,RS,ALVORADA,JARDIM ALGARVE,"RUA ALDO RODRIGUES DA SILVA, N. 205, Apto 102,","72.988,41","126.000,00",42.08,Não,"Apartamento, 0.00 de área total, 33.35 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428629637,Caixa,Imóvel
8444431790753,RS,ALVORADA,MARIA REGINA,"RUA TUPI, N. 580, Apto 404, 4° ANDAR, LOTE 8, QUADRA 61","79.980,24","138.070,00",42.08,Não,"Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431790753,Caixa,Imóvel
8444419670654,RS,ALVORADA,MARIA REGINA,"RUA JOSE LINS DO REGO, N. 1288, CS 1 LT 11A","82.550,28","141.000,00",41.46,Não,"Casa, 47.97 de área total, 45.84 de área privativa, 87.60 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419670654,Caixa,Imóvel
8787703218666,RS,ALVORADA,PQ. RES. VALE VERDE,"RUA F, N. 130, Apto 203, BLOCO 04","97.778,11","165.000,00",40.75,Não,"Apartamento, 85.45 de área total, 43.99 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703218666,Caixa,Imóvel
8444431781045,RS,ALVORADA,JARDIM ALGARVE,"RUA CENTO E CINQUENTA, N. 226, Apto 202, LT 11 QD E-6D","97.778,11","165.000,00",40.75,Não,"Apartamento, 41.76 de área total, 35.88 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431781045,Caixa,Imóvel
8555536409199,RS,ALVORADA,TERRA NOVA,"ACESSO TERRA NOVA, N. 601, CASA 356","159.199,17","260.000,00",38.77,Não,"Casa, 51.54 de área total, 51.05 de área privativa, 85.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536409199,Caixa,Imóvel
8787703308509,RS,ALVORADA,PIRATINI,"RUA MARAJO, N. 130, Apto 503, BL 06 VG 30 5 PAV","120.991,94","179.298,65",32.52,Não,"Apartamento, 85.45 de área total, 43.99 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703308509,Caixa,Imóvel
8444419570510,RS,ALVORADA,FORMOZA,"RUA FERNAO DIAS, N. 500, CS 01 QD 5 LT 26","177.547,80","226.598,96",21.65,Não,"Casa, 54.50 de área total, 50.49 de área privativa, 86.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419570510,Caixa,Imóvel
8444424248060,RS,ALVORADA,FORMOZA,"RUA FERNANDO FERRARI, N. 1042, Apto 104,","107.157,58","136.000,00",21.21,Não,"Apartamento, 39.80 de área total, 38.46 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424248060,Caixa,Imóvel
