N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Financiamento,Descrição,Modalidade de venda,Link de acesso,Origem,Categoria
1444408525455,RS,ALVORADA,APARECIDA,"RUA ENI DAVILA FRAGOSO, N. 22, CASA","46.507,50","151.800,00",69.37,Não,"Casa, 0.00 de área total, 65.00 de área privativa, 152.58 de área do terreno,  2 qto(s), varanda, a.serv, 1 sala(s), cozinha.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408525455,Caixa,Imóvel
8444429256001,RS,ALVORADA,MARIA REGINA,"RUA DEZESSEIS UNIDOS, N. 31, Apto 302, CO","41.967,41","95.000,00",55.83,Não,"Apartamento, 0.00 de área total, 39.78 de área privativa, 504.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429256001,Caixa,Imóvel
8444400618479,RS,ALVORADA,MARIA REGINA,"RUA RODA DE FOGO (ANTIGA RUA 28), N. 33, Apto 103, LT 07 QD 58","46.617,06","101.000,00",53.85,Não,"Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400618479,Caixa,Imóvel
8444429692391,RS,ALVORADA,MARIA REGINA,"RUA SELVA DE PEDRA (ANTIGA RUA 30), N. 191, Apto 401,","40.248,45","83.000,00",51.51,Não,"Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429692391,Caixa,Imóvel
8444430923695,RS,ALVORADA,JARDIM ALGARVE,"RUA CENTO E QUARENTA E OITO, N. 458, Apto 303,","81.428,51","161.659,00",49.63,Sim,"Apartamento, 0.00 de área total, 27.50 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430923695,Caixa,Imóvel
8444428679626,RS,ALVORADA,MARIA REGINA,"RUA BARAO DE COTEGIPE, N. 149, Apto 104,","82.455,61","159.021,00",48.15,Sim,"Apartamento, 44.44 de área total, 38.80 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428679626,Caixa,Imóvel
8444433881063,RS,ALVORADA,UMBU,"RUA EDISON DE OLIVEIRA, N. 518, Apto 304, BL 03 SUB-BL A","65.219,59","123.000,00",46.98,Sim,"Apartamento, 43.56 de área total, 42.98 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433881063,Caixa,Imóvel
8444429188685,RS,ALVORADA,JARDIM ALGARVE,"RUA CENTO E VINTE E TRES, N. 599, Apto 103, PV 1 LT 51 QD E12A","78.781,14","136.000,00",42.08,Não,"Apartamento, 33.69 de área total, 30.39 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429188685,Caixa,Imóvel
8444407748564,RS,ALVORADA,TIJUCA,"RUA CANGUCU, N. SN, FRACAO 04 LT 10 QD K","46.472,85","80.000,00",41.91,Não,"Terreno, 0.00 de área total, 0.00 de área privativa, 365.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407748564,Caixa,Imóvel
8444406534447,RS,ALVORADA,APARECIDA,"RUA DOM PEDRITO, N. 117, PARTE LT 09 CHACARA 02 QD 31","210.825,13","362.436,00",41.84,Não,"Casa, 120.00 de área total, 120.00 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406534447,Caixa,Imóvel
