N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Financiamento,Descrição,Modalidade de venda,Link de acesso,Origem,Categoria
1159120080399,RS,VIAMAO,TARUMA,"RUA TELMO GODOY PINTO, N. 837,","593.339,60","980.000,00",39.46,Sim,"Casa, 265.28 de área total, 199.54 de área privativa, 1000.37 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 2 sala(s), cozinha, 1 vaga(s) de garagem.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1159120080399,Caixa,Imóvel
1444401858033,RS,VIAMAO,QUERENCIA,"AV SENADOR SALGADO FILHO, N. 8450, UA  AC9 QD AC","686.924,21","1.125.000,00",38.95,Não,"Casa, 0.00 de área total, 280.00 de área privativa, 330.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401858033,Caixa,Imóvel
1444406664008,RS,VIAMAO,SANTA ISABEL,"AVENIDA LIBERDADE, N. 3500, ECO20 SETOR ÁGUA","133.878,34","212.700,00",37.06,Sim,"Terreno, 0.00 de área total, 0.00 de área privativa, 1037.50 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406664008,Caixa,Imóvel
8444425900755,RS,VIAMAO,PASSO DA FIGUEIRA,"RUA TOM JOBIM, N. 269, CS 01","180.000,00","180.000,00",0.00,Não,"Casa, 48.30 de área total, 48.30 de área privativa, 150.67 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425900755,Caixa,Imóvel
8787708845790,RS,VIAMAO,CECILIA,"RODOVIA TAPIR ROCHA(ANTIGAAV SENADOR SALGADO FILHO, N. 1820, Apto 402, BL 36 PAV 04","170.000,00","170.000,00",0.00,Não,"Apartamento, 64.09 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708845790,Caixa,Imóvel
8787709632022,RS,VIAMAO,CECILIA,"RODOVIA TAPIR ROCHA, N. 1820, Apto 202, BL 15, BOX N 155","215.761,66","215.761,66",0.00,Não,"Apartamento, 0.00 de área total, 40.82 de área privativa, 0.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709632022,Caixa,Imóvel
8787702476114,RS,VIAMAO,SANTA ISABEL,"RUA PARANA, N. 226, Apto 402, 3 ANDAR","198.000,00","198.000,00",0.00,Não,"Apartamento, 104.95 de área total, 44.84 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702476114,Caixa,Imóvel
1444412653896,RS,VIAMAO,SAO TOME,"RUA PADRE REUS, N. 50, UNIDADE 12 QD 06","201.822,27","200.000,00",0.00,Não,"Casa, 0.00 de área total, 48.00 de área privativa, 303.55 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444412653896,Caixa,Imóvel
1444414757168,RS,VIAMAO,TARUMA,"AVENIDA DAS AZALEIAS, N. 161, LT 05, QD 12,","479.916,66","470.000,00",0.00,Não,"Casa, 183.96 de área total, 66.12 de área privativa, 480.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414757168,Caixa,Imóvel
8444435175514,RS,VIAMAO,CENTRO,"RUA VALTER DE AZEREDO, N. 200, Apto 505, BOX","219.474,72","200.000,00",0.00,Não,"Apartamento, 69.07 de área total, 51.69 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444435175514,Caixa,Imóvel
X125835,,Porto Alegre,,Sala Comercial 77 m² - Centro Histórico - Porto Alegre - RS,"92600,0","92600,0","0,0",,Sala Comercial 77 m² - Centro Histórico - Porto Alegre - RS,"Extrajudicial Lote 10

                                            P. Única",https://www.megaleiloes.com.br/imoveis/imoveis-comerciais/rs/porto-alegre/sala-comercial-77-m2-centro-historico-porto-alegre-rs-x125835?utm_source=megaleiloes&utm_medium=link&utm_campaign=sala-comercial-77-m2-centro-historico-porto-alegre-rs-x125835&utm_term=X125835&utm_content=link,Mega Leilões,Imóvel
X125829,,Sapucaia Do Sul,,Apartamento 68 m² (01 vaga) - Freitas - Sapucaia do Sul - RS,"222300,0","222300,0","0,0",,Apartamento 68 m² (01 vaga) - Freitas - Sapucaia do Sul - RS,"Extrajudicial Lote 22

                                            P. Única",https://www.megaleiloes.com.br/imoveis/apartamentos/rs/sapucaia-do-sul/apartamento-68-m2-01-vaga-freitas-sapucaia-do-sul-rs-x125829?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-68-m2-01-vaga-freitas-sapucaia-do-sul-rs-x125829&utm_term=X125829&utm_content=link,Mega Leilões,Imóvel
X125609,,Porto Alegre,,Casa em Condomínio 102 m² - Guarujá - Porto Alegre - RS,"690186,92","690186,92","74,0",,Casa em Condomínio 102 m² - Guarujá - Porto Alegre - RS,"Extrajudicial Lote 1

                                                                        2 Praças",https://www.megaleiloes.com.br/imoveis/casas/rs/porto-alegre/casa-em-condominio-102-m2-guaruja-porto-alegre-rs-x125609?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-em-condominio-102-m2-guaruja-porto-alegre-rs-x125609&utm_term=X125609&utm_content=link,Mega Leilões,Imóvel
X126428,,São Leopoldo,,Casa 74 m² - Feitoria - São Leopoldo - RS,"156800,0","156800,0","0,0",,Casa 74 m² - Feitoria - São Leopoldo - RS,"Extrajudicial Lote 10

                                            P. Única",https://www.megaleiloes.com.br/imoveis/casas/rs/sao-leopoldo/casa-74-m2-feitoria-sao-leopoldo-rs-x126428?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-74-m2-feitoria-sao-leopoldo-rs-x126428&utm_term=X126428&utm_content=link,Mega Leilões,Imóvel
X126429,,Porto Alegre,,Casa em Condomínio 141 m² (01 vaga) - Serraria - Porto Alegre - RS,"320000,0","320000,0","0,0",,Casa em Condomínio 141 m² (01 vaga) - Serraria - Porto Alegre - RS,"Extrajudicial Lote 11

                                            P. Única",https://www.megaleiloes.com.br/imoveis/casas/rs/porto-alegre/casa-em-condominio-141-m2-01-vaga-serraria-porto-alegre-rs-x126429?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-em-condominio-141-m2-01-vaga-serraria-porto-alegre-rs-x126429&utm_term=X126429&utm_content=link,Mega Leilões,Imóvel
X126452,,Porto Alegre,,Casa 38 m² - Sarandi - Porto Alegre - RS,"171600,0","171600,0","0,0",,Casa 38 m² - Sarandi - Porto Alegre - RS,"Extrajudicial Lote 34

                                            P. Única",https://www.megaleiloes.com.br/imoveis/casas/rs/porto-alegre/casa-38-m2-sarandi-porto-alegre-rs-x126452?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-38-m2-sarandi-porto-alegre-rs-x126452&utm_term=X126452&utm_content=link,Mega Leilões,Imóvel
X126485,,Porto Alegre,,Apartamento 324 m² (Unid. 301) - Cristal - Porto Alegre - RS,"1750500,0","1750500,0","0,0",,Apartamento 324 m² (Unid. 301) - Cristal - Porto Alegre - RS,"Extrajudicial Lote 67

                                            P. Única",https://www.megaleiloes.com.br/imoveis/apartamentos/rs/porto-alegre/apartamento-324-m2-unid-301-cristal-porto-alegre-rs-x126485?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-324-m2-unid-301-cristal-porto-alegre-rs-x126485&utm_term=X126485&utm_content=link,Mega Leilões,Imóvel
X126516,,São Leopoldo,,Casa 40 m² - Arroio da Manteiga - São Leopoldo - RS,"112800,0","112800,0","0,0",,Casa 40 m² - Arroio da Manteiga - São Leopoldo - RS,"Extrajudicial Lote 98

                                            P. Única",https://www.megaleiloes.com.br/imoveis/casas/rs/sao-leopoldo/casa-40-m2-arroio-da-manteiga-sao-leopoldo-rs-x126516?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-40-m2-arroio-da-manteiga-sao-leopoldo-rs-x126516&utm_term=X126516&utm_content=link,Mega Leilões,Imóvel
X126519,,Porto Alegre,,Casa 165 m² - Hípica - Porto Alegre - RS,"213900,0","213900,0","0,0",,Casa 165 m² - Hípica - Porto Alegre - RS,"Extrajudicial Lote 101

                                            P. Única",https://www.megaleiloes.com.br/imoveis/casas/rs/porto-alegre/casa-165-m2-hipica-porto-alegre-rs-x126519?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-165-m2-hipica-porto-alegre-rs-x126519&utm_term=X126519&utm_content=link,Mega Leilões,Imóvel
X126525,,Canoas,,Casa 236 m² - Igara - Canoas - RS,"534600,0","534600,0","0,0",,Casa 236 m² - Igara - Canoas - RS,"Extrajudicial Lote 107

                                            P. Única",https://www.megaleiloes.com.br/imoveis/casas/rs/canoas/casa-236-m2-igara-canoas-rs-x126525?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-236-m2-igara-canoas-rs-x126525&utm_term=X126525&utm_content=link,Mega Leilões,Imóvel
X126541,,Porto Alegre,,Apartamento 64 m² - Nonoai - Porto Alegre - RS,"144200,0","144200,0","0,0",,Apartamento 64 m² - Nonoai - Porto Alegre - RS,"Extrajudicial Lote 123

                                            P. Única",https://www.megaleiloes.com.br/imoveis/apartamentos/rs/porto-alegre/apartamento-64-m2-nonoai-porto-alegre-rs-x126541?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-64-m2-nonoai-porto-alegre-rs-x126541&utm_term=X126541&utm_content=link,Mega Leilões,Imóvel
X126557,,Gravataí,,Apartamento 45 m² - São Jerônimo - Gravataí - RS,"117600,0","117600,0","0,0",,Apartamento 45 m² - São Jerônimo - Gravataí - RS,"Extrajudicial Lote 139

                                            P. Única",https://www.megaleiloes.com.br/imoveis/apartamentos/rs/gravatai/apartamento-45-m2-sao-jeronimo-gravatai-rs-x126557?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-45-m2-sao-jeronimo-gravatai-rs-x126557&utm_term=X126557&utm_content=link,Mega Leilões,Imóvel
X126170,,Cachoeirinha,,"Casa 244 m² - Cachoeirinha-RS - Rua Cariri, 18 - Vila Monte Carlo","288000,0","288000,0","0,0",,"Casa 244 m² - Cachoeirinha-RS - Rua Cariri, 18 - Vila Monte Carlo","Extrajudicial Lote 8

                                            P. Única",https://www.megaleiloes.com.br/imoveis/casas/rs/cachoeirinha/casa-244-m2-cachoeirinha-rs-rua-cariri-18-vila-monte-carlo-x126170?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-244-m2-cachoeirinha-rs-rua-cariri-18-vila-monte-carlo-x126170&utm_term=X126170&utm_content=link,Mega Leilões,Imóvel
X126398,,Porto Alegre,,Casa 143 m² - Hípica - Porto Alegre - RS,"749903,88","749903,88","12,0",,Casa 143 m² - Hípica - Porto Alegre - RS,"Extrajudicial Lote 15

                                                                        2 Praças",https://www.megaleiloes.com.br/imoveis/casas/rs/porto-alegre/casa-143-m2-hipica-porto-alegre-rs-x126398?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-143-m2-hipica-porto-alegre-rs-x126398&utm_term=X126398&utm_content=link,Mega Leilões,Imóvel
X126295,,Porto Alegre,,Apartamento 78 m² - Centro Histórico - Porto Alegre - RS,"147500,0","147500,0","0,0",,Apartamento 78 m² - Centro Histórico - Porto Alegre - RS,"Extrajudicial Lote 22

                                            P. Única",https://www.megaleiloes.com.br/imoveis/apartamentos/rs/porto-alegre/apartamento-78-m2-centro-historico-porto-alegre-rs-x126295?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-78-m2-centro-historico-porto-alegre-rs-x126295&utm_term=X126295&utm_content=link,Mega Leilões,Imóvel
X126312,,Viamão,,Casa 58 m² - Vila Minuano - Viamão - RS,"112100,0","112100,0","0,0",,Casa 58 m² - Vila Minuano - Viamão - RS,"Extrajudicial Lote 39

                                            P. Única",https://www.megaleiloes.com.br/imoveis/casas/rs/viamao/casa-58-m2-vila-minuano-viamao-rs-x126312?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-58-m2-vila-minuano-viamao-rs-x126312&utm_term=X126312&utm_content=link,Mega Leilões,Imóvel
X126319,,Porto Alegre,,Apartamento 50 m² (01 vaga) - Vila Barão do Cahy - Porto Alegre - RS,"154100,0","154100,0","0,0",,Apartamento 50 m² (01 vaga) - Vila Barão do Cahy - Porto Alegre - RS,"Extrajudicial Lote 46

                                            P. Única",https://www.megaleiloes.com.br/imoveis/apartamentos/rs/porto-alegre/apartamento-50-m2-01-vaga-vila-barao-do-cahy-porto-alegre-rs-x126319?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-50-m2-01-vaga-vila-barao-do-cahy-porto-alegre-rs-x126319&utm_term=X126319&utm_content=link,Mega Leilões,Imóvel
X126320,,Viamão,,Casa 61 m² - Santa Isabel - Viamão - RS,"152200,0","152200,0","0,0",,Casa 61 m² - Santa Isabel - Viamão - RS,"Extrajudicial Lote 47

                                            P. Única",https://www.megaleiloes.com.br/imoveis/casas/rs/viamao/casa-61-m2-santa-isabel-viamao-rs-x126320?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-61-m2-santa-isabel-viamao-rs-x126320&utm_term=X126320&utm_content=link,Mega Leilões,Imóvel
X126322,,Porto Alegre,,Apartamento 63 m² (01 vaga) - Boa Vista - Porto Alegre - RS,"292400,0","292400,0","0,0",,Apartamento 63 m² (01 vaga) - Boa Vista - Porto Alegre - RS,"Extrajudicial Lote 49

                                            P. Única",https://www.megaleiloes.com.br/imoveis/apartamentos/rs/porto-alegre/apartamento-63-m2-01-vaga-boa-vista-porto-alegre-rs-x126322?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-63-m2-01-vaga-boa-vista-porto-alegre-rs-x126322&utm_term=X126322&utm_content=link,Mega Leilões,Imóvel
X126380,,Porto Alegre,,Apartamento 81 m² (Unid. 303) - Cristal - Porto Alegre - RS,"124400,0","124400,0","0,0",,Apartamento 81 m² (Unid. 303) - Cristal - Porto Alegre - RS,"Extrajudicial Lote 89

                                            P. Única",https://www.megaleiloes.com.br/imoveis/apartamentos/rs/porto-alegre/apartamento-81-m2-unid-303-cristal-porto-alegre-rs-x126380?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-81-m2-unid-303-cristal-porto-alegre-rs-x126380&utm_term=X126380&utm_content=link,Mega Leilões,Imóvel
J124532,,Porto Alegre,,Área 7 ha - Ilha do Pavão - Porto Alegre - RS,"5511809,25","5511809,25","50,0",,Área 7 ha - Ilha do Pavão - Porto Alegre - RS,"Judicial Lote 2

                                                                        3 Praças",https://www.megaleiloes.com.br/imoveis/terrenos-e-lotes/rs/porto-alegre/area-7-ha-ilha-do-pavao-porto-alegre-rs-j124532?utm_source=megaleiloes&utm_medium=link&utm_campaign=area-7-ha-ilha-do-pavao-porto-alegre-rs-j124532&utm_term=J124532&utm_content=link,Mega Leilões,Imóvel
J124533,,Porto Alegre,,Área 4.680 m² - Ilha do Pavão - Porto Alegre - RS,"507951,05","507951,05","50,0",,Área 4.680 m² - Ilha do Pavão - Porto Alegre - RS,"Judicial Lote 3

                                                                        3 Praças",https://www.megaleiloes.com.br/imoveis/terrenos-e-lotes/rs/porto-alegre/area-4680-m2-ilha-do-pavao-porto-alegre-rs-j124533?utm_source=megaleiloes&utm_medium=link&utm_campaign=area-4680-m2-ilha-do-pavao-porto-alegre-rs-j124533&utm_term=J124533&utm_content=link,Mega Leilões,Imóvel
J124534,,Porto Alegre,,Área 7.302 m² - Ilha das Flores - Porto Alegre - RS,"691678,02","691678,02","50,0",,Área 7.302 m² - Ilha das Flores - Porto Alegre - RS,"Judicial Lote 4

                                                                        3 Praças",https://www.megaleiloes.com.br/imoveis/terrenos-e-lotes/rs/porto-alegre/area-7302-m2-ilha-das-flores-porto-alegre-rs-j124534?utm_source=megaleiloes&utm_medium=link&utm_campaign=area-7302-m2-ilha-das-flores-porto-alegre-rs-j124534&utm_term=J124534&utm_content=link,Mega Leilões,Imóvel
J124873,,Porto Alegre,,Direitos sobre Apartamento 40 m² - Mário Quintana - Porto Alegre - RS,"184995,81","184995,81","50,0",,Direitos sobre Apartamento 40 m² - Mário Quintana - Porto Alegre - RS,"Judicial Lote 1

                                                                        2 Praças",https://www.megaleiloes.com.br/imoveis/apartamentos/rs/porto-alegre/direitos-sobre-apartamento-40-m2-mario-quintana-porto-alegre-rs-j124873?utm_source=megaleiloes&utm_medium=link&utm_campaign=direitos-sobre-apartamento-40-m2-mario-quintana-porto-alegre-rs-j124873&utm_term=J124873&utm_content=link,Mega Leilões,Imóvel
J123580,,Porto Alegre,,Direitos sobre Apartamento 66 m² - Cavalhada - Porto Alegre - RS,"190977,67","190977,67","0,0",,Direitos sobre Apartamento 66 m² - Cavalhada - Porto Alegre - RS,"Judicial Lote 1

                                            P. Única",https://www.megaleiloes.com.br/imoveis/apartamentos/rs/porto-alegre/direitos-sobre-apartamento-66-m2-cavalhada-porto-alegre-rs-j123580?utm_source=megaleiloes&utm_medium=link&utm_campaign=direitos-sobre-apartamento-66-m2-cavalhada-porto-alegre-rs-j123580&utm_term=J123580&utm_content=link,Mega Leilões,Imóvel
#203646,,Alvorada,,"Complexo Industrial - 7.116,61 m² - Estância Grande","4966112,79","9932225,58","50,00",,"Complexo Industrial - 7.116,61 m² - Estância Grande",Judicial,https://www.leiloesjudiciais.com.br/lote/95780/203646,Leilões Judiciais,Imóvel
#203973,,Alvorada,,Posto de combustível + Edif. comercial c/ 590m² - Bela Vista,"2744997,75","3659997,0","25,00",,Posto de combustível + Edif. comercial c/ 590m² - Bela Vista,Judicial,https://www.leiloesjudiciais.com.br/lote/95180/203973,Leilões Judiciais,Imóvel
#202119,,Porto Alegre,,"Prédio comercial 02 pavs.- 1.200,00m²  - B. Paternon","2027192,14","4054384,28","50,00",,"Prédio comercial 02 pavs.- 1.200,00m²  - B. Paternon",Judicial,https://www.leiloesjudiciais.com.br/lote/95180/202119,Leilões Judiciais,Imóvel
#205636,,Porto Alegre,,"Prédio - 427,00m² - Terreno - 193,00m² - B. Espirito Santo","1125000,0","1500000,0","25,00",,"Prédio - 427,00m² - Terreno - 193,00m² - B. Espirito Santo",Judicial,https://www.leiloesjudiciais.com.br/lote/95180/205636,Leilões Judiciais,Imóvel
#203645,,Porto Alegre,,"Prédio comercial c/ 428,87m² - B. Navegantes","1080000,0","1800000,0","40,00",,"Prédio comercial c/ 428,87m² - B. Navegantes",Judicial,https://www.leiloesjudiciais.com.br/lote/95780/203645,Leilões Judiciais,Imóvel
#203624,,Canoas,,"Unidade 09-W c/ 471,60m² -Cond. Res. Altavista II","1056000,0","1320000,0","20,00",,"Unidade 09-W c/ 471,60m² -Cond. Res. Altavista II",Judicial,https://www.leiloesjudiciais.com.br/lote/95777/203624,Leilões Judiciais,Imóvel
#205637,,Porto Alegre,,Prédio comercial - 45m² - Terreno - 1.322m² - B. Ipanema,"600000,0","800000,0","25,00",,Prédio comercial - 45m² - Terreno - 1.322m² - B. Ipanema,Judicial,https://www.leiloesjudiciais.com.br/lote/95180/205637,Leilões Judiciais,Imóvel
#204739,,Canoas,,"Apartamento 1104- 111,52m² -Res. Residencial Mani -Centro","442719,0","590292,0","25,00",,"Apartamento 1104- 111,52m² -Res. Residencial Mani -Centro",Judicial,https://www.leiloesjudiciais.com.br/lote/96158/204739,Leilões Judiciais,Imóvel
