N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Financiamento,Descrição,Modalidade de venda,Link de acesso,Origem,Categoria
1444408525455,RS,ALVORADA,APARECIDA,"RUA ENI DAVILA FRAGOSO, N. 22, CASA","50.735,46","151.800,00",66.58,Não,"Casa, 0.00 de área total, 65.00 de área privativa, 152.58 de área do terreno,  2 qto(s), varanda, a.serv, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408525455,Caixa,Imóvel
8444429256001,RS,ALVORADA,MARIA REGINA,"RUA DEZESSEIS UNIDOS, N. 31, Apto 302, CO","41.967,41","95.000,00",55.83,Não,"Apartamento, 0.00 de área total, 39.78 de área privativa, 504.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429256001,Caixa,Imóvel
8444400618479,RS,ALVORADA,MARIA REGINA,"RUA RODA DE FOGO (ANTIGA RUA 28), N. 33, Apto 103, LT 07 QD 58","47.988,15","101.000,00",52.49,Não,"Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400618479,Caixa,Imóvel
8444429692391,RS,ALVORADA,MARIA REGINA,"RUA SELVA DE PEDRA (ANTIGA RUA 30), N. 191, Apto 401,","40.248,45","83.000,00",51.51,Não,"Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429692391,Caixa,Imóvel
8444430923695,RS,ALVORADA,JARDIM ALGARVE,"RUA CENTO E QUARENTA E OITO, N. 458, Apto 303,","81.428,51","161.659,00",49.63,Não,"Apartamento, 0.00 de área total, 27.50 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430923695,Caixa,Imóvel
8444428679626,RS,ALVORADA,MARIA REGINA,"RUA BARAO DE COTEGIPE, N. 149, Apto 104,","82.455,61","159.021,00",48.15,Sim,"Apartamento, 44.44 de área total, 38.80 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428679626,Caixa,Imóvel
8444433881063,RS,ALVORADA,UMBU,"RUA EDISON DE OLIVEIRA, N. 518, Apto 304, BL 03 SUB-BL A","66.982,28","123.000,00",45.55,Não,"Apartamento, 43.56 de área total, 42.98 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433881063,Caixa,Imóvel
8444429829222,RS,ALVORADA,PASSO DA FIGUEIRA,"RUA 32, N. 191, Apto 102, QD 57 LT 1","54.522,84","94.180,63",42.11,Não,"Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429829222,Caixa,Imóvel
8444429188685,RS,ALVORADA,JARDIM ALGARVE,"RUA CENTO E VINTE E TRES, N. 599, Apto 103, PV 1 LT 51 QD E12A","78.781,14","136.000,00",42.08,Não,"Apartamento, 33.69 de área total, 30.39 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429188685,Caixa,Imóvel
8444407748564,RS,ALVORADA,TIJUCA,"RUA CANGUCU, N. SN, FRACAO 04 LT 10 QD K","46.472,85","80.000,00",41.91,Não,"Terreno, 0.00 de área total, 0.00 de área privativa, 365.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407748564,Caixa,Imóvel
8444425616208,RS,ALVORADA,ALGARVE,"RUA NUMERO 142, N. 99, Apto 202, LT 41 LT E24","84.950,68","145.100,00",41.46,Não,"Apartamento, 0.00 de área total, 35.72 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425616208,Caixa,Imóvel
8444434005585,RS,ALVORADA,JARDIM ALGARVE,"RUA CENTO E CINQUENTA, N. 485, Apto 102,","82.667,38","141.200,00",41.46,Não,"Apartamento, 0.00 de área total, 28.63 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444434005585,Caixa,Imóvel
8444436977355,RS,ALVORADA,JARDIM ALGARVE,"RUA CENTO E CINQUENTA, N. 234, Apto 202,","87.233,99","149.000,00",41.46,Não,"Apartamento, 37.10 de área total, 31.94 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444436977355,Caixa,Imóvel
8444419670654,RS,ALVORADA,MARIA REGINA,"RUA JOSE LINS DO REGO, N. 1288, CS 1 LT 11A","82.550,28","141.000,00",41.46,Não,"Casa, 47.97 de área total, 45.84 de área privativa, 87.60 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419670654,Caixa,Imóvel
8444437760848,RS,ALVORADA,MARIA REGINA,"RUA CAMPO VERDE, N. 709, Apto 302, LT 23 QD 32","87.819,45","150.000,00",41.46,Não,"Apartamento, 47.90 de área total, 42.87 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444437760848,Caixa,Imóvel
8444426086938,RS,ALVORADA,JARDIM ALGARVE,"RUA CENTO E QUARENTA E SEIS, N. 119, Apto 301, PAV 2/3 LT 44 QD E-22","94.815,14","160.000,00",40.75,Sim,"Apartamento, 33.68 de área total, 29.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426086938,Caixa,Imóvel
8444429774495,RS,ALVORADA,JARDIM ALGARVE,"RUA CENTO E VINTE E UM, N. 134, Apto 302, LT 13 QD E16A","94.815,14","160.000,00",40.75,Não,"Apartamento, 29.37 de área total, 29.37 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429774495,Caixa,Imóvel
8444435620011,RS,ALVORADA,MARIA REGINA,"RUA VINTE E SETE, N. 223, Apto 103, BL 03 QD 57 LT 03","97.778,11","165.000,00",40.75,Não,"Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444435620011,Caixa,Imóvel
8444406534447,RS,ALVORADA,APARECIDA,"RUA DOM PEDRITO, N. 117, PARTE LT 09 CHACARA 02 QD 31","216.373,16","362.436,00",40.31,Não,"Casa, 120.00 de área total, 120.00 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406534447,Caixa,Imóvel
8444417912600,RS,ALVORADA,MARIA REGINA,"RUA JOSE LINS DO REGO, N. 762, CS 01, QD G, LT 14","133.930,31","221.587,22",39.56,Sim,"Casa, 71.25 de área total, 71.25 de área privativa, 90.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417912600,Caixa,Imóvel
10218347,RS,ALVORADA,AMERICANA,"RUA MARIZ E BARROS (ANTIGA RUA A), N. 1062, QD 04, LT 13","226.804,22","365.000,00",37.87,Não,"Casa, 0.00 de área total, 184.82 de área privativa, 360.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10218347,Caixa,Imóvel
8444414146299,RS,ALVORADA,JARDIM ALGARVE,"RUA BEIJA-FLORES, N. 580, CASA 02","200.000,00","200.000,00",0.00,Não,"Casa, 49.25 de área total, 49.25 de área privativa, 87.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414146299,Caixa,Imóvel
8444427648352,RS,ALVORADA,JARDIM ALGARVE,"RUA CENTO E QUARENTA E SEIS, N. 277, Apto 201, PAV 02 LT 22 QD E1A","160.000,00","160.000,00",0.00,Não,"Apartamento, 34.20 de área total, 29.15 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427648352,Caixa,Imóvel
