N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Financiamento,Descrição,Modalidade de venda,Link de acesso
8444407434764,RS,NOVO HAMBURGO,CANUDOS,"AVENIDA REYNALDO KAYSER, N. 1221, Apto 14,","94.623,28","155.000,00",38.96,Não,"Apartamento, 103.47 de área total, 50.47 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407434764
8555513177453,RS,NOVO HAMBURGO,CANUDOS,"RUA MARIA OLINDA TELLES, N. 900, CS 248","171.445,26","280.000,00",38.77,Não,"Casa, 128.43 de área total, 85.51 de área privativa, 128.42 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555513177453
10221388,RS,NOVO HAMBURGO,RINCAO,"RUA JOÃO WERNO ERHART, N. 4889","1.784.480,04","2.800.000,00",36.27,Sim,"Prédio, 0.00 de área total, 415.80 de área privativa, 436.70 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10221388
1787702079834,RS,NOVO HAMBURGO,OPERARIO,"RUA HENRI DUNANT, N. 801, Apto 94, BL C","227.521,21","357.000,00",36.27,Não,"Apartamento, 82.50 de área total, 68.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787702079834
8787710339651,RS,NOVO HAMBURGO,SANTO AFONSO,"RUA BOLESLAU CASEMIRO KONARZWSKI, N. 651, Apto 503, BL 07","155.000,00","155.000,00",0.00,Não,"Apartamento, 51.39 de área total, 41.20 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710339651
1444405151295,RS,NOVO HAMBURGO,CANUDOS,"RUA ADONAI NUNES DOS SANTOS, N. 64, LT 19 QD 16","420.000,00","420.000,00",0.00,Não,"Casa, 0.00 de área total, 64.93 de área privativa, 247.50 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405151295
8444412277582,RS,NOVO HAMBURGO,CANUDOS,"RUA URUGUAI, N. 388, Apto 313, BL 4,","140.000,00","140.000,00",0.00,Não,"Apartamento, 66.15 de área total, 38.41 de área privativa, 0.00 de área do terreno,  2 qto(s), WC.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412277582
8787711993240,RS,NOVO HAMBURGO,PATRIA NOVA,"RUA TRES DE OUTUBRO, N. 1260, Apto 24, VAGA Nº 08","330.000,00","330.000,00",0.00,Não,"Apartamento, 84.70 de área total, 68.86 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711993240
8787703694638,RS,NOVO HAMBURGO,SAO JORGE,"RUA SOBRADINHO, N. 269, Apto 404, TORRE 01, BOX 144","240.000,00","230.000,00",0.00,Não,"Apartamento, 69.14 de área total, 45.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703694638
8444437429505,RS,NOVO HAMBURGO,CANUDOS,"RUA EVALDO LUIZ DE SOUZA, N. 10, Apto 54, BL M","193.709,63","153.000,00",0.00,Não,"Apartamento, 56.70 de área total, 45.64 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444437429505
7049000001130,RS,NOVO HAMBURGO,VILA NOVA,"RUA OSCAR EMILIO MULLER, N. 56, Apto 11","1.150.000,00","819.000,00",0.00,Não,"Apartamento, 0.00 de área total, 153.19 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 3 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=7049000001130
8444428782923,RS,NOVO HAMBURGO,BOA SAUDE,"RUA DAS ARAUCARIAS, N. SN, LT 08 QD T","198.000,00","85.000,00",0.00,Não,"Terreno, 0.00 de área total, 0.00 de área privativa, 130.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428782923
8444415799474,RS,PORTO ALEGRE,RESTINGA,"RUA RUBEM PEREIRA TORELLY (ANTIGA RUA A), N. 25, Apto 303, BL A-30","22.784,54","87.000,00",73.82,Não,"Apartamento, 0.00 de área total, 49.08 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415799474
10007591,RS,PORTO ALEGRE,BELEM VELHO,"Av. Professor Oscar Pereira - lado ímpar, (em frente ao nº 8300)","1.431.828,58","5.168.000,00",72.30,Não,"Gleba, 0.00 de área total, 0.00 de área privativa, 61622.47 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10007591
8444416111999,RS,PORTO ALEGRE,RUBEM BERTA,"RUA VINTE E QUATRO, N. SN, Apto 207, LT 05 QD 48 BL A","38.119,01","108.000,00",64.71,Não,"Apartamento, 0.00 de área total, 43.20 de área privativa, 0.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416111999
8043000501767,RS,PORTO ALEGRE,CAVALHADA,"RUA DOUTOR JULIO TEIXEIRA (ANTIGA RUA C), N. 150, Apto 305, BL 20","24.420,07","68.000,00",64.09,Não,"Apartamento, 46.19 de área total, 36.42 de área privativa, 12025.68 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8043000501767
8444409978176,RS,PORTO ALEGRE,RUBEM BERTA,"AVENIDA MAJOR MANOEL JOSE MONTEIRO, N. 525, Apto 202, CONJ 4, BL 4-B","48.571,68","125.000,00",61.15,Não,"Apartamento, 0.00 de área total, 39.59 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409978176
10163892,RS,PORTO ALEGRE,AZENHA,"RUA DOUTOR RAMIRO D AVILA, N. 20, SL 406","119.345,95","292.000,00",59.13,Não,"Sala, 0.00 de área total, 79.92 de área privativa, 0.00 de área do terreno.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10163892
